(/1/){1},0.828593
(/1/){2},0.69312
(/1/){3},0.467758
(/1/){4},0.407617
(/1/){5},0.370116
(/1/){6},0.001235
(/2/){1},0.007442
(/4/){1},0.750624
(/4/){2},0.601794
(/4/){3},0.565185
(/4/){4},0.530865
(/4/){5},0.488886
(/4/){6},0.397058
(/4/){7},0.341236
(/5/){1},0.309384
(/5/){2},0.061771
(/5/){3},0.000608
(/6/){1},0.054435
(/6/){2},0.000617
(/9/){1},0.724445
(/9/){2},0.584521
(/9/){3},0.564047
(/9/){4},0.376695
(/9/){5},0.357427
(/9/){6},0.353078
(/9/){7},0.231016
(/10/){1},0.012719
(/11/){1},0.107295
(/11/){2},0.030036
(/12/){1},0.908619
(/12/){2},0.743977
(/12/){3},0.709921
(/12/){4},0.554917
(/12/){5},0.540626
(/12/){6},0.531021
(/12/){7},0.202514
(/12/){8},0.190545
(/13/){1},0.011998
(/14/){1},0.053615
(/14/){2},0.040071
(/14/){3},0.016976
(/14/){4},0.006745
(/15/){1},0.00258